x_from,y_from,x_to,y_to,dist,json
-73.952705,40.780819,-73.954681,40.780819,155.9,{'durations': [[0, 155.9], [67.2, 0]], 'code': 'Ok', 'sources': [{'location': [-73.952711, 40.780811], 'name': 'East 89th Street'}, {'location': [-73.954684, 40.780815], 'name': 'East 88th Street'}], 'destinations': [{'location': [-73.952711, 40.780811], 'name': 'East 89th Street'}, {'location': [-73.954684, 40.780815], 'name': 'East 88th Street'}]}
-73.952705,40.780819,-73.980957,40.780819,623.6,{'durations': [[0, 623.6], [650.3, 0]], 'code': 'Ok', 'sources': [{'location': [-73.952711, 40.780811], 'name': 'East 89th Street'}, {'location': [-73.98093, 40.780857], 'name': 'West 75th Street'}], 'destinations': [{'location': [-73.952711, 40.780811], 'name': 'East 89th Street'}, {'location': [-73.98093, 40.780857], 'name': 'West 75th Street'}]}
-73.952705,40.780819,-73.987419,40.780819,846.1,{'durations': [[0, 846.1], [730.4, 0]], 'code': 'Ok', 'sources': [{'location': [-73.952711, 40.780811], 'name': 'East 89th Street'}, {'location': [-73.987491, 40.780856], 'name': 'Joe DiMaggio Highway'}], 'destinations': [{'location': [-73.952711, 40.780811], 'name': 'East 89th Street'}, {'location': [-73.987491, 40.780856], 'name': 'Joe DiMaggio Highway'}]}
-73.952705,40.780819,-73.957848,40.780819,150.8,{'durations': [[0, 150.8], [147, 0]], 'code': 'Ok', 'sources': [{'location': [-73.952711, 40.780811], 'name': 'East 89th Street'}, {'location': [-73.958048, 40.780547], 'name': 'East 86th Street'}], 'destinations': [{'location': [-73.952711, 40.780811], 'name': 'East 89th Street'}, {'location': [-73.958048, 40.780547], 'name': 'East 86th Street'}]}
-73.952705,40.780819,-73.971481,40.780819,395.0,{'durations': [[0, 395], [370.6, 0]], 'code': 'Ok', 'sources': [{'location': [-73.952711, 40.780811], 'name': 'East 89th Street'}, {'location': [-73.971636, 40.780844], 'name': '79th Street Transverse Road'}], 'destinations': [{'location': [-73.952711, 40.780811], 'name': 'East 89th Street'}, {'location': [-73.971636, 40.780844], 'name': '79th Street Transverse Road'}]}
-73.952705,40.780819,-73.982712,40.780819,674.6,{'durations': [[0, 674.6], [670.9, 0]], 'code': 'Ok', 'sources': [{'location': [-73.952711, 40.780811], 'name': 'East 89th Street'}, {'location': [-73.982738, 40.780785], 'name': 'West 74th Street'}], 'destinations': [{'location': [-73.952711, 40.780811], 'name': 'East 89th Street'}, {'location': [-73.982738, 40.780785], 'name': 'West 74th Street'}]}
-73.952705,40.780819,-73.976135,40.780819,515.5,{'durations': [[0, 515.5], [500, 0]], 'code': 'Ok', 'sources': [{'location': [-73.952711, 40.780811], 'name': 'East 89th Street'}, {'location': [-73.97627, 40.780876], 'name': 'Columbus Avenue'}], 'destinations': [{'location': [-73.952711, 40.780811], 'name': 'East 89th Street'}, {'location': [-73.97627, 40.780876], 'name': 'Columbus Avenue'}]}
-73.952705,40.780819,-73.961624,40.780819,271.7,{'durations': [[0, 271.7], [268.2, 0]], 'code': 'Ok', 'sources': [{'location': [-73.952711, 40.780811], 'name': 'East 89th Street'}, {'location': [-73.961857, 40.780674], 'name': '86th Street Transverse Road'}], 'destinations': [{'location': [-73.952711, 40.780811], 'name': 'East 89th Street'}, {'location': [-73.961857, 40.780674], 'name': '86th Street Transverse Road'}]}
-73.952705,40.780819,-73.976936,40.780819,518.0,{'durations': [[0, 518], [639.2, 0]], 'code': 'Ok', 'sources': [{'location': [-73.952711, 40.780811], 'name': 'East 89th Street'}, {'location': [-73.976923, 40.780836], 'name': 'West 77th Street'}], 'destinations': [{'location': [-73.952711, 40.780811], 'name': 'East 89th Street'}, {'location': [-73.976923, 40.780836], 'name': 'West 77th Street'}]}
-73.952705,40.780819,-73.963753,40.780819,236.8,{'durations': [[0, 236.8], [296.1, 0]], 'code': 'Ok', 'sources': [{'location': [-73.952711, 40.780811], 'name': 'East 89th Street'}, {'location': [-73.962802, 40.781545], 'name': '86th Street Transverse Road'}], 'destinations': [{'location': [-73.952711, 40.780811], 'name': 'East 89th Street'}, {'location': [-73.962802, 40.781545], 'name': '86th Street Transverse Road'}]}
-73.952705,40.780819,-73.978531,40.780819,644.2,{'durations': [[0, 644.2], [562.1, 0]], 'code': 'Ok', 'sources': [{'location': [-73.952711, 40.780811], 'name': 'East 89th Street'}, {'location': [-73.978613, 40.780707], 'name': 'West 76th Street'}], 'destinations': [{'location': [-73.952711, 40.780811], 'name': 'East 89th Street'}, {'location': [-73.978613, 40.780707], 'name': 'West 76th Street'}]}
-73.952705,40.780819,-73.999077,40.780819,1692.2,{'durations': [[0, 1692.2], [1795.6, 0]], 'code': 'Ok', 'sources': [{'location': [-73.952711, 40.780811], 'name': 'East 89th Street'}, {'location': [-74.002597, 40.783511], 'name': ''}], 'destinations': [{'location': [-73.952711, 40.780811], 'name': 'East 89th Street'}, {'location': [-74.002597, 40.783511], 'name': ''}]}
-73.952705,40.780819,-74.002159,40.780819,1718.7,{'durations': [[0, 1718.7], [1808.6, 0]], 'code': 'Ok', 'sources': [{'location': [-73.952711, 40.780811], 'name': 'East 89th Street'}, {'location': [-74.004553, 40.782062], 'name': 'Riverwalk Place'}], 'destinations': [{'location': [-73.952711, 40.780811], 'name': 'East 89th Street'}, {'location': [-74.004553, 40.782062], 'name': 'Riverwalk Place'}]}
-73.952705,40.780819,-73.979225,40.780819,632.0,{'durations': [[0, 632], [574.3, 0]], 'code': 'Ok', 'sources': [{'location': [-73.952711, 40.780811], 'name': 'East 89th Street'}, {'location': [-73.979144, 40.780929], 'name': 'West 76th Street'}], 'destinations': [{'location': [-73.952711, 40.780811], 'name': 'East 89th Street'}, {'location': [-73.979144, 40.780929], 'name': 'West 76th Street'}]}
-73.952705,40.780819,-73.987267,40.780819,846.5,{'durations': [[0, 846.5], [730, 0]], 'code': 'Ok', 'sources': [{'location': [-73.952711, 40.780811], 'name': 'East 89th Street'}, {'location': [-73.987442, 40.78091], 'name': 'Joe DiMaggio Highway'}], 'destinations': [{'location': [-73.952711, 40.780811], 'name': 'East 89th Street'}, {'location': [-73.987442, 40.78091], 'name': 'Joe DiMaggio Highway'}]}
-73.952705,40.780819,-74.001656,40.780819,1718.7,{'durations': [[0, 1718.7], [1808.6, 0]], 'code': 'Ok', 'sources': [{'location': [-73.952711, 40.780811], 'name': 'East 89th Street'}, {'location': [-74.004553, 40.782062], 'name': 'Riverwalk Place'}], 'destinations': [{'location': [-73.952711, 40.780811], 'name': 'East 89th Street'}, {'location': [-74.004553, 40.782062], 'name': 'Riverwalk Place'}]}
-73.980408,40.728725,-73.97065,40.728725,441.1,{'durations': [[0, 441.1], [430.8, 0]], 'code': 'Ok', 'sources': [{'location': [-73.980422, 40.728706], 'name': 'East 12th Street'}, {'location': [-73.971536, 40.728695], 'name': ''}], 'destinations': [{'location': [-73.980422, 40.728706], 'name': 'East 12th Street'}, {'location': [-73.971536, 40.728695], 'name': ''}]}
-73.980408,40.728725,-73.978241,40.728725,89.3,{'durations': [[0, 89.3], [126.8, 0]], 'code': 'Ok', 'sources': [{'location': [-73.980422, 40.728706], 'name': 'East 12th Street'}, {'location': [-73.978298, 40.728647], 'name': 'East 13th Street'}], 'destinations': [{'location': [-73.980422, 40.728706], 'name': 'East 12th Street'}, {'location': [-73.978298, 40.728647], 'name': 'East 13th Street'}]}
-73.980408,40.728725,-73.991776,40.728725,542.2,{'durations': [[0, 542.2], [356, 0]], 'code': 'Ok', 'sources': [{'location': [-73.980422, 40.728706], 'name': 'East 12th Street'}, {'location': [-73.992225, 40.728946], 'name': 'Lafayette Street'}], 'destinations': [{'location': [-73.980422, 40.728706], 'name': 'East 12th Street'}, {'location': [-73.992225, 40.728946], 'name': 'Lafayette Street'}]}
-73.980408,40.728725,-73.954681,40.728725,1079.8,{'durations': [[0, 1079.8], [1012.5, 0]], 'code': 'Ok', 'sources': [{'location': [-73.980422, 40.728706], 'name': 'East 12th Street'}, {'location': [-73.95468, 40.728717], 'name': 'Noble Street'}], 'destinations': [{'location': [-73.980422, 40.728706], 'name': 'East 12th Street'}, {'location': [-73.95468, 40.728717], 'name': 'Noble Street'}]}
-73.980408,40.728725,-73.980957,40.728725,180.8,{'durations': [[0, 180.8], [16.2, 0]], 'code': 'Ok', 'sources': [{'location': [-73.980422, 40.728706], 'name': 'East 12th Street'}, {'location': [-73.980842, 40.728882], 'name': 'East 12th Street'}], 'destinations': [{'location': [-73.980422, 40.728706], 'name': 'East 12th Street'}, {'location': [-73.980842, 40.728882], 'name': 'East 12th Street'}]}
-73.980408,40.728725,-73.987419,40.728725,303.7,{'durations': [[0, 303.7], [224.7, 0]], 'code': 'Ok', 'sources': [{'location': [-73.980422, 40.728706], 'name': 'East 12th Street'}, {'location': [-73.987541, 40.728776], 'name': '2nd Avenue'}], 'destinations': [{'location': [-73.980422, 40.728706], 'name': 'East 12th Street'}, {'location': [-73.987541, 40.728776], 'name': '2nd Avenue'}]}
-73.980408,40.728725,-73.957848,40.728725,1105.9,{'durations': [[0, 1105.9], [1054.3, 0]], 'code': 'Ok', 'sources': [{'location': [-73.980422, 40.728706], 'name': 'East 12th Street'}, {'location': [-73.957802, 40.728419], 'name': 'Noble Street'}], 'destinations': [{'location': [-73.980422, 40.728706], 'name': 'East 12th Street'}, {'location': [-73.957802, 40.728419], 'name': 'Noble Street'}]}
-73.980408,40.728725,-73.971481,40.728725,441.4,{'durations': [[0, 441.4], [430.5, 0]], 'code': 'Ok', 'sources': [{'location': [-73.980422, 40.728706], 'name': 'East 12th Street'}, {'location': [-73.971538, 40.728723], 'name': ''}], 'destinations': [{'location': [-73.980422, 40.728706], 'name': 'East 12th Street'}, {'location': [-73.971538, 40.728723], 'name': ''}]}
-73.980408,40.728725,-73.952705,40.728725,1030.7,{'durations': [[0, 1030.7], [843.7, 0]], 'code': 'Ok', 'sources': [{'location': [-73.980422, 40.728706], 'name': 'East 12th Street'}, {'location': [-73.952606, 40.728758], 'name': 'Leonard Street'}], 'destinations': [{'location': [-73.980422, 40.728706], 'name': 'East 12th Street'}, {'location': [-73.952606, 40.728758], 'name': 'Leonard Street'}]}
-73.980408,40.728725,-73.982712,40.728725,173.2,{'durations': [[0, 173.2], [160.5, 0]], 'code': 'Ok', 'sources': [{'location': [-73.980422, 40.728706], 'name': 'East 12th Street'}, {'location': [-73.982652, 40.728808], 'name': 'East 11th Street'}], 'destinations': [{'location': [-73.980422, 40.728706], 'name': 'East 12th Street'}, {'location': [-73.982652, 40.728808], 'name': 'East 11th Street'}]}
-73.980408,40.728725,-73.976135,40.728725,146.7,{'durations': [[0, 146.7], [188.4, 0]], 'code': 'Ok', 'sources': [{'location': [-73.980422, 40.728706], 'name': 'East 12th Street'}, {'location': [-73.976186, 40.728717], 'name': ''}], 'destinations': [{'location': [-73.980422, 40.728706], 'name': 'East 12th Street'}, {'location': [-73.976186, 40.728717], 'name': ''}]}
-73.980408,40.728725,-73.961624,40.728725,1184.9,{'durations': [[0, 1184.9], [1102.8, 0]], 'code': 'Ok', 'sources': [{'location': [-73.980422, 40.728706], 'name': 'East 12th Street'}, {'location': [-73.960754, 40.728149], 'name': 'Noble Street'}], 'destinations': [{'location': [-73.980422, 40.728706], 'name': 'East 12th Street'}, {'location': [-73.960754, 40.728149], 'name': 'Noble Street'}]}
-73.980408,40.728725,-73.976936,40.728725,126.8,{'durations': [[0, 126.8], [143.8, 0]], 'code': 'Ok', 'sources': [{'location': [-73.980422, 40.728706], 'name': 'East 12th Street'}, {'location': [-73.976794, 40.728918], 'name': 'East 14th Street'}], 'destinations': [{'location': [-73.980422, 40.728706], 'name': 'East 12th Street'}, {'location': [-73.976794, 40.728918], 'name': 'East 14th Street'}]}
-73.980408,40.728725,-73.963753,40.728725,1151.3,{'durations': [[0, 1151.3], [1042.1, 0]], 'code': 'Ok', 'sources': [{'location': [-73.980422, 40.728706], 'name': 'East 12th Street'}, {'location': [-73.961246, 40.727424], 'name': 'Oak Street'}], 'destinations': [{'location': [-73.980422, 40.728706], 'name': 'East 12th Street'}, {'location': [-73.961246, 40.727424], 'name': 'Oak Street'}]}
-73.980408,40.728725,-73.978531,40.728725,77.5,{'durations': [[0, 77.5], [124.2, 0]], 'code': 'Ok', 'sources': [{'location': [-73.980422, 40.728706], 'name': 'East 12th Street'}, {'location': [-73.978547, 40.728731], 'name': 'Avenue B'}], 'destinations': [{'location': [-73.980422, 40.728706], 'name': 'East 12th Street'}, {'location': [-73.978547, 40.728731], 'name': 'Avenue B'}]}
-73.980408,40.728725,-73.999077,40.728725,714.7,{'durations': [[0, 714.7], [637.5, 0]], 'code': 'Ok', 'sources': [{'location': [-73.980422, 40.728706], 'name': 'East 12th Street'}, {'location': [-73.999319, 40.728842], 'name': 'Thompson Street'}], 'destinations': [{'location': [-73.980422, 40.728706], 'name': 'East 12th Street'}, {'location': [-73.999319, 40.728842], 'name': 'Thompson Street'}]}
-73.980408,40.728725,-74.002159,40.728725,609.4,{'durations': [[0, 609.4], [641.8, 0]], 'code': 'Ok', 'sources': [{'location': [-73.980422, 40.728706], 'name': 'East 12th Street'}, {'location': [-74.002593, 40.728847], 'name': '6th Avenue'}], 'destinations': [{'location': [-73.980422, 40.728706], 'name': 'East 12th Street'}, {'location': [-74.002593, 40.728847], 'name': '6th Avenue'}]}
